"","id","Authors_Num","Countries_Unique_Num","FRES_Title","FLESCH_Title","numCharTitle_all","numCharTitle_onlyAlpha","numCharTitle_nonAlpha","nonAlphaCharTitle_isExist","numWordTitle","numABV_Title","binABV_Title","numSentAbstract","numABV_Abstract","binABV_Abstract","PaperAge","numLexVerb","numSylGreaThan2","numPage","Year","Cited by","FRES_Abstract","FLESCH_Abstract","isFunding","keywordsListedAlpha","numKeywords","Quartile","J_or_C","CitationMetric_1","CitationMetric_2","CitationMetric_3","CitationMetric_4_CB","CitationMetric_4a_CM2","CitationMetric_4b_CM3","CitationMetric_5_CB","CitationMetric_5a_CM2","CitationMetric_5b_CM3","Dominant_Topic","single_quote_mark","parenthesis_mark","hyphen_mark","period_mark","slash_mark","colon_mark","question_mark","presenceColon","avgPunctuation","numPreposition","numFreqLexItems_connectives","numFreqLexItems_action_markers","numFreqLexItems_closing","numTitleSubstantiveWordsWoutStopwords","numTitleSubstantiveWordsWithStopwords","numAbstractSubstantiveWordsWoutStopwords","numAbstractSubstantiveWordsWithStopwords","presenceInitialPosition_a","presenceInitialPosition_a_or_the","presenceInitialPosition_ing"
"1",51263,3,1,26.47,12.3,79,69,0,0,11,3,1,6,7,1,22,1,4,13,1998,1,32.73,14,1,0,8,1,1,24.2924308289334,0.0454545454545455,0.693147180559945,0.0323594674556213,0.0323594674556214,0.277586599017124,0.0306666666666667,0.0306666666666667,0.264138071754689,12,0,1,0,6,0,0,0,0,0.35,14,0,0,0,8,8,74,69,0,0,1
"2",23942,2,1,-3.32,15.5,60,54,0,0,7,0,0,6,4,0,3,1,4,6,2017,2,24.61,17.2,0,1,6,0,0,33.5155506632586,0.666666666666667,1.09861228866811,0.262065589818894,0.262065589818894,0.673222065448574,0.234139960758666,0.234139960758666,0.665135039788819,2,0,1,1,7,0,0,0,0,0.45,15,0,0,0,5,5,105,93,0,0,0
"3",5284,2,1,-35.13,19.4,44,40,0,0,5,0,0,5,0,0,29,0,3,5,1991,2,28.23,13.7,0,0,3,0,0,33.5155506632586,0.0689655172413793,1.09861228866811,0.0653896453573352,0.0653896453573352,0.553607440996262,0.258992805755396,0.258992805755396,0.693871623582119,14,0,0,0,5,0,1,0,1,0.3,15,0,0,0,4,4,46,42,0,0,0
"4",11198,3,1,22.41,13.9,101,85,1,1,16,1,1,4,0,1,7,2,4,6,2013,3,31.72,14.4,0,1,4,0,0,40.5371368868822,0.428571428571428,1.38629436111989,0.175826337880378,0.175826337880378,0.676671632271619,0.277561608300908,0.277561608300908,0.823851848318117,12,0,0,1,4,0,0,0,0,0.25,14,0,0,0,10,10,57,55,0,0,0
"5",22041,2,2,-8.39,17.4,95,83,1,1,12,0,0,7,0,0,10,3,5,2,2010,1,18.25,15.5,0,1,3,0,0,24.2924308289334,0.1,0.693147180559945,0.0557195241928271,0.0557195241928272,0.34283559103485,0.0586380832282472,0.0586380832282472,0.359852585071812,3,0,0,2,7,0,0,0,0,0.45,15,0,0,0,8,8,89,84,0,0,0
"6",47151,9,5,-88.93,27.7,95,84,4,1,8,0,0,10,0,0,0,1,7,45,2020,2,16.32,16.2,0,1,4,1,1,33.5155506632586,0,1.09861228866811,10.3566878980892,NA,11.0063762666076,11.7142857142857,NA,10.532293749823,8,0,0,6,10,0,0,0,0,0.8,36,1,0,0,7,7,126,115,0,0,1
"7",1182,8,1,24.44,13.1,90,77,1,1,13,0,0,6,0,0,14,2,5,15,2006,92,14.8,16.8,0,0,12,0,0,96.435567827758,6.57142857142857,4.53259949315326,4.0214201750185,4.02142017501851,2.11859253676652,3.79246624022743,3.79246624022743,2.07978281354924,8,0,0,2,6,0,0,0,0,0.4,17,1,0,1,8,8,83,75,0,0,1
"8",23345,1,1,68.77,6.4,63,52,1,1,11,1,1,7,5,1,9,1,1,15,2011,9,33.14,13.9,0,1,3,0,0,63.328606876994,1,2.30258509299405,0.526049741945076,0.526049741945075,1.17867354690907,0.82004555808656,0.82004555808656,1.23694387980325,13,0,1,3,7,0,0,0,0,0.8,18,1,0,0,6,6,87,72,0,0,0
"9",17551,4,1,-7.38,17,80,69,1,1,11,2,1,9,9,1,12,2,4,7,2008,0,46.88,10.7,0,1,4,0,0,9.49644582921323,0,0,0,0,0,0,0,0,6,0,0,1,9,0,0,0,0,0.5,21,0,0,0,9,10,84,79,0,0,0
"10",10873,1,1,-6.36,16.6,80,69,2,1,10,0,0,7,0,0,7,2,5,6,2013,1,16.02,16.3,0,1,2,0,0,24.2924308289334,0.142857142857143,0.693147180559945,0.0586087792934592,0.0586087792934593,0.338335816135809,0.0839363241678727,0.0839363241678727,0.356779405771774,9,0,0,5,8,0,0,0,0,0.65,18,1,0,0,9,9,101,96,0,0,1
"11",26600,3,1,-10.42,18.2,118,105,0,0,14,0,0,6,4,0,23,0,5,10,1997,13,49.96,11.6,0,0,8,0,0,71.0489001660479,0.565217391304348,2.63905732961526,0.376300554633416,0.376300554633414,1.17389450577666,0.681010289990645,0.681010289990645,1.33944094682456,15,1,1,2,6,0,0,0,0,0.5,15,0,0,0,11,11,77,68,0,0,0
